nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority,ownedBy,ownedByName
VANGUARD ADMIRAL FDS INC,921932505,53,483,SH,,DFND,21,483,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932703,75,769,SH,,DFND,2,769,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932703,3066,31416,SH,,DFND,3,29130,0,2286,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932703,223,2284,SH,,DFND,5,2284,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932703,12,125,SH,,DFND,21,125,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932778,829,6879,SH,,DFND,3,6837,0,42,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932778,2,20,SH,,DFND,21,20,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932794,1358,10580,SH,,DFND,3,10580,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932794,4,30,SH,,DFND,5,30,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932794,2,18,SH,,DFND,21,18,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932828,534,4288,SH,,DFND,3,2982,0,1306,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932828,91,733,SH,,DFND,5,733,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932828,1,11,SH,,DFND,21,11,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932844,978,8878,SH,,DFND,3,8878,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932844,169,1532,SH,,DFND,5,1532,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932844,1,6,SH,,DFND,21,0,0,6,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932869,2101,18754,SH,,DFND,3,15820,0,2934,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932885,464,4167,SH,,DFND,3,2372,0,1795,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932885,552,4962,SH,,DFND,5,4962,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932885,9,85,SH,,DFND,8,85,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932885,43,388,SH,,DFND,21,388,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD ADMIRAL FDS INC,921932885,59,530,SH,,DFND,,530,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937793,4975,55813,SH,,DFND,2,55813,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937793,1213,13608,SH,,DFND,3,12611,0,997,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937793,77,868,SH,,DFND,5,868,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937793,69,772,SH,,DFND,8,772,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937793,12,130,SH,,DFND,21,130,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937819,196,2361,SH,,DFND,2,2361,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937819,21385,257428,SH,,DFND,3,224960,0,32468,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937819,3791,45638,SH,,DFND,5,45638,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937819,735,8851,SH,,DFND,8,7351,1500,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937819,485,5840,SH,,DFND,21,5840,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937819,8,100,SH,,DFND,23,100,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937827,30034,378027,SH,,DFND,2,378027,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937827,50412,634509,SH,,DFND,3,574711,0,59798,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937827,10918,137422,SH,,DFND,5,137422,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937827,7296,91831,SH,,DFND,7,0,91831,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937827,3637,45773,SH,,DFND,8,25790,19983,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937827,468,5888,SH,,DFND,21,5880,0,8,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937827,11776,148213,SH,,DFND,23,107785,0,40428,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937827,293,3690,SH,,DFND,29,3690,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937835,35806,443201,SH,,DFND,3,378292,0,64909,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937835,10023,124058,SH,,DFND,5,124058,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937835,3584,44356,SH,,DFND,7,0,44356,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937835,4888,60502,SH,,DFND,8,29457,31045,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937835,86,1060,SH,,DFND,9,1060,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937835,3955,48950,SH,,DFND,14,48950,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937835,14,171,SH,,DFND,19,171,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937835,946,11706,SH,,DFND,21,11706,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937835,103,1277,SH,,DFND,23,1277,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD BD INDEX FD INC,921937835,267,3302,SH,,DFND,25,3302,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,3902,106780,SH,,DFND,1,106780,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,3286,89937,SH,,DFND,2,89937,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,212373,5812063,SH,,DFND,3,5122502,0,689561,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,17947,491158,SH,,DFND,5,491158,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,12977,355148,SH,,DFND,7,0,355148,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,9009,246561,SH,,DFND,8,24840,221721,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,124,3400,SH,,DFND,9,3400,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,38688,1058777,SH,,DFND,19,1055702,0,3075,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,689,18854,SH,,OTR,19,17854,0,1000,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,31951,874402,SH,,DFND,21,855240,0,19162,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,11447,313272,SH,,DFND,23,91429,0,221843,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,16536,452541,SH,,DFND,29,452541,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD TAX MANAGED INTL FD,921943858,189,5166,SH,,DFND,,5166,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946406,23160,305666,SH,,DFND,3,236894,0,68772,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946406,2204,29084,SH,,DFND,5,29084,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946406,27,350,SH,,DFND,7,0,350,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946406,33,440,SH,,DFND,8,440,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946406,42,550,SH,,DFND,15,550,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946406,7884,104051,SH,,DFND,19,104051,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946406,1113,14692,SH,,DFND,21,14692,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946406,1137,15000,SH,,DFND,,15000,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946794,5,83,SH,,DFND,2,83,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946794,122,2156,SH,,DFND,3,2156,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946810,779,14754,SH,,DFND,3,13518,0,1236,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946885,10,123,SH,,DFND,2,123,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946885,63,811,SH,,DFND,3,682,0,129,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946885,1108,14288,SH,,DFND,5,14288,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946885,10,130,SH,,DFND,7,0,130,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946885,268,3461,SH,,DFND,8,1471,1990,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD WHITEHALL FDS INC,921946885,2,30,SH,,DFND,21,30,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD MALVERN FDS,922020805,1925,39152,SH,,DFND,3,34233,0,4919,1000275,ROYAL  BANK  OF  CANAD
VANGUARD MALVERN FDS,922020805,216,4393,SH,,DFND,5,4393,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD MALVERN FDS,922020805,75,1533,SH,,DFND,8,1533,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD MALVERN FDS,922020805,17,354,SH,,DFND,21,354,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD MALVERN FDS,922020805,1913,38906,SH,,DFND,23,30957,0,7949,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042676,311,6268,SH,,DFND,2,6268,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042676,1024,20665,SH,,DFND,3,17966,0,2699,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042676,845,17039,SH,,DFND,5,17039,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042676,2886,58230,SH,,DFND,14,58230,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042676,20,410,SH,,DFND,15,410,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042676,5339,107707,SH,,DFND,19,107707,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042676,87,1750,SH,,OTR,19,1750,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042676,15,300,SH,,DFND,21,300,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042718,2658,28273,SH,,DFND,3,26994,0,1279,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042718,2277,24215,SH,,DFND,5,24215,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042718,262,2791,SH,,DFND,8,2791,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042718,202,2144,SH,,DFND,21,2144,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042718,9,100,SH,,DFND,23,100,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042718,51,543,SH,,DFND,24,0,0,543,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042742,37868,620793,SH,,DFND,1,620793,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042742,3889,63754,SH,,DFND,2,63754,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042742,2552,41842,SH,,DFND,3,37709,0,4133,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042742,1983,32510,SH,,DFND,5,32510,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042742,1092,17905,SH,,DFND,7,0,17905,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042742,374,6128,SH,,DFND,8,0,6128,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042742,55,896,SH,,DFND,21,896,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042742,642,10532,SH,,DFND,24,0,0,10532,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042742,222,3640,SH,,DFND,,3640,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042742,84,1375,SH,,SOLE,,1375,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042775,611,13831,SH,,DFND,2,13831,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042775,21452,485564,SH,,DFND,3,455540,0,30024,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042775,3455,78192,SH,,DFND,5,78192,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042775,1205,27268,SH,,DFND,8,27198,70,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042775,133,3000,SH,,DFND,11,3000,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042775,32,733,SH,,OTR,19,0,0,733,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042775,38,865,SH,,DFND,21,865,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042775,15,350,SH,,DFND,23,350,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042775,395,8933,SH,,DFND,24,500,0,8433,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,124013,3465991,SH,,DFND,3,3133203,0,332788,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,18685,522232,SH,,DFND,5,522232,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,660,18436,SH,,DFND,7,0,18436,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,1972,55106,SH,,DFND,8,12916,42190,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,29,820,SH,,DFND,9,820,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,88,2459,SH,,DFND,11,2459,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,309,8646,SH,,DFND,13,6670,1976,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,3576,99957,SH,,DFND,19,99957,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,103,2890,SH,,OTR,19,2865,0,25,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,899,25135,SH,,DFND,21,24894,0,241,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,5633,157448,SH,,DFND,23,40072,0,117376,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,48,1330,SH,,DFND,24,0,0,1330,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,5116,142990,SH,,DFND,29,142990,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,33,930,SH,,DFND,,930,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042858,18583,519382,SH,,SOLE,,519382,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042866,380,6530,SH,,DFND,2,6530,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042866,243,4182,SH,,DFND,3,3487,0,695,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042866,2131,36669,SH,,DFND,5,36669,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042866,2575,44300,SH,,DFND,14,44300,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042866,14,243,SH,,DFND,19,243,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042866,106,1821,SH,,DFND,21,1821,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,0,9,SH,,DFND,1,9,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,721,15048,SH,,DFND,2,15048,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,13615,283991,SH,,DFND,3,255778,0,28213,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,23897,498476,SH,,DFND,5,498476,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,1093,22794,SH,,DFND,8,15589,7205,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,242,5052,SH,,DFND,11,5052,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,221,4604,SH,,DFND,13,2730,1874,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,340,7094,SH,,DFND,19,7094,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,5,100,SH,,OTR,19,0,0,100,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,5137,107152,SH,,DFND,21,107152,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,10,200,SH,,DFND,23,200,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,47,980,SH,,DFND,,980,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INTL EQUITY INDEX F,922042874,2438,50860,SH,,SOLE,,50860,0,0,1000275,ROYAL  BANK  OF  CANAD
VARONIS SYS INC,922280102,108,4043,SH,,DFND,1,4043,0,0,1000275,ROYAL  BANK  OF  CANAD
VARONIS SYS INC,922280102,12,437,SH,,DFND,2,437,0,0,1000275,ROYAL  BANK  OF  CANAD
VARONIS SYS INC,922280102,3800,141783,SH,,DFND,3,137547,0,4236,1000275,ROYAL  BANK  OF  CANAD
VARONIS SYS INC,922280102,0,2,SH,,DFND,5,2,0,0,1000275,ROYAL  BANK  OF  CANAD
VARONIS SYS INC,922280102,47,1750,SH,,DFND,15,1750,0,0,1000275,ROYAL  BANK  OF  CANAD
VEECO INSTRS INC DEL,922417100,59,2009,SH,,DFND,2,2009,0,0,1000275,ROYAL  BANK  OF  CANAD
VEECO INSTRS INC DEL,922417100,127,4369,SH,,DFND,3,4321,0,48,1000275,ROYAL  BANK  OF  CANAD
VEECO INSTRS INC DEL,922417100,9,300,SH,,DFND,5,300,0,0,1000275,ROYAL  BANK  OF  CANAD
VEEVA SYS INC,922475108,1679,41246,SH,,DFND,1,41246,0,0,1000275,ROYAL  BANK  OF  CANAD
VEEVA SYS INC,922475108,2298,56454,SH,,DFND,3,55607,0,847,1000275,ROYAL  BANK  OF  CANAD
VEEVA SYS INC,922475108,28,677,SH,,DFND,5,677,0,0,1000275,ROYAL  BANK  OF  CANAD
VEEVA SYS INC,922475108,44,1075,SH,,DFND,15,1075,0,0,1000275,ROYAL  BANK  OF  CANAD
VEEVA SYS INC,922475108,10,247,SH,,DFND,21,247,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD MUN BD FD INC,922907746,157,3115,SH,,DFND,2,3115,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD MUN BD FD INC,922907746,578,11504,SH,,DFND,3,11254,0,250,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,8644,42100,SH,,DFND,1,42100,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,54908,267437,SH,,DFND,3,231779,0,35658,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,16064,78242,SH,,DFND,5,78242,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,29391,143152,SH,,DFND,7,0,143152,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,2992,14574,SH,,DFND,8,4752,9822,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,317,1545,SH,,DFND,11,1545,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,1056,5143,SH,,DFND,13,3573,1570,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,4191,20415,SH,,DFND,14,20415,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,363,1766,SH,,DFND,15,1766,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,2147,10456,SH,,DFND,19,10456,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,3059,14899,SH,,DFND,21,14448,0,451,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,5636,27450,SH,,DFND,24,0,0,27450,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,58,282,SH,,DFND,29,282,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,2110,10279,SH,,DFND,,5531,4748,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908363,821,4000,SH,,SOLE,,4000,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908512,8675,89256,SH,,DFND,3,70235,0,19021,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908512,334,3433,SH,,DFND,5,3433,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908512,10,102,SH,,DFND,7,0,102,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908512,187,1926,SH,,DFND,8,1736,190,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908512,131,1347,SH,,DFND,15,1347,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908512,988,10161,SH,,DFND,19,10161,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908512,20228,208126,SH,,DFND,21,198572,0,9554,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908512,5823,59909,SH,,DFND,23,6415,0,53494,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908512,320,3290,SH,,DFND,24,970,0,2320,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908538,4663,44123,SH,,DFND,3,36666,0,7457,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908538,125,1180,SH,,DFND,5,1180,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908538,987,9339,SH,,DFND,19,9339,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908538,19321,182838,SH,,DFND,21,174575,0,8263,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908538,7361,69664,SH,,DFND,23,8212,0,61452,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,9363,113452,SH,,DFND,1,113452,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,35,425,SH,,DFND,2,425,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,35592,431259,SH,,DFND,3,357825,0,73434,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,7153,86672,SH,,DFND,5,86672,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,189,2285,SH,,DFND,7,0,2285,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,539,6527,SH,,DFND,8,6527,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,2939,35606,SH,,DFND,14,35606,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,1092,13229,SH,,DFND,15,13229,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,32802,397460,SH,,DFND,19,397240,0,220,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,262,3169,SH,,OTR,19,3119,0,50,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,7195,87177,SH,,DFND,21,83869,0,3308,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,58,700,SH,,DFND,23,700,0,0,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908553,165,2000,SH,,DFND,24,0,0,2000,1000275,ROYAL  BANK  OF  CANAD
VANGUARD INDEX FDS,922908595,16,119,SH,,DFND,2,119,0,0,1000275,ROYAL  BANK  OF  CANAD
